timestamp,symbol,Open,High,Low,Close,Volume
2021-01-01 00:00:00+00:00,BTC_USDT:USDT,28948.19,29668.86,28627.12,29337.16,210716.398
2021-01-02 00:00:00+00:00,BTC_USDT:USDT,29337.15,33480.0,28958.24,32199.91,545541.08
2021-01-03 00:00:00+00:00,BTC_USDT:USDT,32198.41,34832.25,32000.02,33054.53,487486.989
2021-01-04 00:00:00+00:00,BTC_USDT:USDT,33053.93,33653.56,27800.0,32031.07,506128.023
2021-01-05 00:00:00+00:00,BTC_USDT:USDT,32029.55,34500.0,29900.0,33999.52,433720.833
2021-01-06 00:00:00+00:00,BTC_USDT:USDT,33999.51,37037.51,33356.46,36823.68,444019.83
2021-01-07 00:00:00+00:00,BTC_USDT:USDT,36825.77,40565.62,36337.36,39498.92,520147.908
2021-01-08 00:00:00+00:00,BTC_USDT:USDT,39498.32,42125.51,36539.77,40637.23,518080.826
2021-01-09 00:00:00+00:00,BTC_USDT:USDT,40638.91,41539.88,38733.28,40136.04,260882.805
2021-01-10 00:00:00+00:00,BTC_USDT:USDT,40136.05,41412.12,35268.0,38221.67,436759.048
2021-01-11 00:00:00+00:00,BTC_USDT:USDT,38200.01,38322.18,30448.0,35408.46,906275.651
2021-01-12 00:00:00+00:00,BTC_USDT:USDT,35406.92,36693.44,32600.0,34056.9,449027.984
2021-01-13 00:00:00+00:00,BTC_USDT:USDT,34065.53,37880.0,32420.0,37421.07,398188.088
2021-01-14 00:00:00+00:00,BTC_USDT:USDT,37416.34,40189.39,36764.33,39163.31,353142.386
2021-01-15 00:00:00+00:00,BTC_USDT:USDT,39163.31,39790.0,34478.0,36755.24,437610.113
2021-01-16 00:00:00+00:00,BTC_USDT:USDT,36755.25,38000.0,35366.0,36025.66,301102.477
2021-01-17 00:00:00+00:00,BTC_USDT:USDT,36025.65,36898.0,33863.5,35869.83,287686.129
2021-01-18 00:00:00+00:00,BTC_USDT:USDT,35875.72,37547.94,34808.47,36686.86,253386.703
2021-01-19 00:00:00+00:00,BTC_USDT:USDT,36690.0,37961.0,35850.0,35891.03,257889.419
2021-01-20 00:00:00+00:00,BTC_USDT:USDT,35891.74,36461.44,33403.0,35500.0,329192.419
2021-01-21 00:00:00+00:00,BTC_USDT:USDT,35499.23,35636.17,30069.9,30879.97,550562.277
2021-01-22 00:00:00+00:00,BTC_USDT:USDT,30875.77,33831.52,28880.0,32986.34,453568.538
2021-01-23 00:00:00+00:00,BTC_USDT:USDT,32990.08,33495.0,31405.0,32086.48,256776.411
2021-01-24 00:00:00+00:00,BTC_USDT:USDT,32086.48,33125.75,30914.2,32275.63,212107.044
2021-01-25 00:00:00+00:00,BTC_USDT:USDT,32274.88,34880.0,31921.47,32253.68,316687.524
2021-01-26 00:00:00+00:00,BTC_USDT:USDT,32253.68,32950.0,30810.0,32474.14,346861.707
2021-01-27 00:00:00+00:00,BTC_USDT:USDT,32474.81,32562.2,29240.0,30381.04,431022.839
2021-01-28 00:00:00+00:00,BTC_USDT:USDT,30382.96,33778.95,29843.33,33399.75,311528.373
2021-01-29 00:00:00+00:00,BTC_USDT:USDT,33399.99,38641.1,31960.0,34269.35,713579.785
2021-01-30 00:00:00+00:00,BTC_USDT:USDT,34267.04,34988.88,32849.06,34289.85,267861.872
2021-01-31 00:00:00+00:00,BTC_USDT:USDT,34284.76,34393.22,32193.04,33126.21,211293.891
2021-02-01 00:00:00+00:00,BTC_USDT:USDT,33125.11,34720.0,32322.47,33546.09,240632.325
2021-02-02 00:00:00+00:00,BTC_USDT:USDT,33546.08,36041.0,33450.0,35504.06,239856.23
2021-02-03 00:00:00+00:00,BTC_USDT:USDT,35504.07,37700.0,35410.0,37652.51,240308.078
2021-02-04 00:00:00+00:00,BTC_USDT:USDT,37651.92,38833.0,36233.0,36976.93,306715.022
2021-02-05 00:00:00+00:00,BTC_USDT:USDT,36975.19,38411.82,36586.68,38362.65,196277.444
2021-02-06 00:00:00+00:00,BTC_USDT:USDT,38357.17,40992.4,38269.0,39249.54,310826.315
2021-02-07 00:00:00+00:00,BTC_USDT:USDT,39249.53,39757.87,37403.27,38849.25,296721.925
2021-02-08 00:00:00+00:00,BTC_USDT:USDT,38849.24,47146.0,38037.0,46451.32,440167.093
2021-02-09 00:00:00+00:00,BTC_USDT:USDT,46451.32,48266.36,45057.65,46492.54,381477.426
2021-02-10 00:00:00+00:00,BTC_USDT:USDT,46492.53,47475.0,43770.0,44850.0,334979.017
2021-02-11 00:00:00+00:00,BTC_USDT:USDT,44850.0,48810.0,44038.97,48060.21,330540.045
2021-02-12 00:00:00+00:00,BTC_USDT:USDT,48060.21,49278.98,46121.0,47361.03,259186.288
2021-02-13 00:00:00+00:00,BTC_USDT:USDT,47364.0,48290.0,46252.1,47221.62,199965.397
2021-02-14 00:00:00+00:00,BTC_USDT:USDT,47221.63,49875.16,47093.16,48655.21,241935.666
2021-02-15 00:00:00+00:00,BTC_USDT:USDT,48655.21,49100.0,45349.21,47981.58,248960.404
2021-02-16 00:00:00+00:00,BTC_USDT:USDT,47981.6,50953.44,47101.02,49197.94,343592.011
2021-02-17 00:00:00+00:00,BTC_USDT:USDT,49197.93,52800.0,49029.62,52194.62,312007.458
2021-02-18 00:00:00+00:00,BTC_USDT:USDT,52194.62,52640.0,50948.0,51619.7,185489.89
2021-02-19 00:00:00+00:00,BTC_USDT:USDT,51612.46,56582.0,50800.0,56004.1,257911.872
